DateTime,PM25_ug_m3,ET_C,RH_pct,WS_km_h,WD_deg,Location
2026/06/08 03:00,1.379,7.939,99.601,2.093,127.366,Calgary Central
2026/06/07 16:00,1.389,11.657,44.553,3.847,160.212,Calgary Central
2026/06/07 17:00,1.392,12.124,41.575,7.527,325.912,Calgary Southeast
2026/06/05 20:00,1.397,13.158,36.56,20.344,242.548,Calgary Southeast
2026/06/05 21:00,1.403,12.174,40.359,9.929,257.41,Calgary Northwest
2026/06/10 14:00,1.404,12.008,84.339,26.402,330.584,Airdrie
2026/06/10 01:00,1.407,10.673,73.561,6.543,288.026,Calgary Northwest
2026/06/08 09:00,1.412,14.799,28.997,13.681,272.174,Calgary Northwest
2026/06/02 21:00,1.421,7.591,99.8,14.569,351.509,Airdrie
2026/06/02 03:00,1.423,7.191,85.964,18.583,315.481,Calgary Northwest
2026/06/08 22:00,1.425,13.884,29.695,16.443,261.134,Airdrie
2026/06/07 17:00,1.429,10.46,61.937,12.984,349.722,Calgary Central
2026/06/08 08:00,1.43,12.975,41.207,19.685,259.376,Airdrie
2026/06/10 14:00,1.433,11.928,62.296,22.976,319.19,Calgary Northwest
2026/06/16 20:00,1.435,11.546,67.489,8.271,267.477,Calgary Northwest
2026/06/28 14:00,1.438,12.518,99.082,30.556,336.399,Calgary Central
2026/06/16 20:00,1.439,12.782,56.847,10.261,281.497,Calgary Southeast
2026/06/05 23:00,1.44,8.556,49.36,12.358,296.097,Airdrie
2026/06/07 23:00,1.442,10.424,53.998,5.515,6.957,Calgary Central
2026/06/10 16:00,1.448,14.255,47.699,31.68,323.06,Calgary Central
2026/06/17 06:00,1.448,10.887,60.191,12.425,330.012,Airdrie
2026/06/17 09:00,1.449,12.989,53.909,26.59,346.587,Airdrie
2026/06/10 00:00,1.451,13.294,45.39,9.096,312.076,Calgary Central
2026/06/02 19:00,1.456,8.062,99.8,17.853,356.813,Airdrie
2026/06/17 10:00,1.457,12.295,60.381,28.481,346.549,Airdrie
2026/06/12 18:00,1.458,11.393,51.3,20.259,349.971,Calgary Central
2026/06/07 19:00,1.459,10,62.157,10.585,331.963,Calgary Central
2026/06/17 12:00,1.462,13.014,57.818,25.23,341.478,Airdrie
2026/06/02 22:00,1.464,7.998,99.201,13.378,339.202,Calgary Central
2026/06/16 22:00,1.464,10.631,74.132,5.965,284.117,Calgary Northwest
2026/06/07 16:00,1.47,12.024,49.049,2.639,164.058,Calgary Northwest
2026/06/07 17:00,1.473,9.211,66.069,13.437,334.923,Calgary Northwest
2026/06/08 11:00,1.473,16.363,24.748,14.555,257.252,Airdrie
2026/06/07 09:00,1.474,10.341,55.689,11.352,337.903,Calgary Central
2026/06/09 02:00,1.476,8.663,45.531,6.678,283.688,Airdrie
2026/06/08 21:00,1.478,17.74,14.941,8.492,244.731,Calgary Southeast
2026/06/10 03:00,1.479,9.626,85.675,4.318,272.9,Calgary Northwest
2026/06/10 15:00,1.482,13.604,54.682,28.889,321.757,Calgary Central
2026/06/02 08:00,1.483,7.436,85.721,16.707,320.932,Calgary Northwest
2026/06/07 15:00,1.484,11.628,54.26,6.449,139.223,Calgary Northwest
2026/06/06 00:00,1.488,8.638,46.215,3.683,291.245,Calgary Northwest
2026/06/16 21:00,1.49,13.129,49.141,11.354,277.164,Calgary Central
2026/06/09 14:00,1.493,19.165,26.072,3.29,193.198,Calgary Southeast
2026/06/09 21:00,1.502,15.016,40.863,9.64,278.2,Calgary Southeast
2026/06/07 20:00,1.504,10.728,49.78,4.698,291.635,Calgary Southeast
2026/06/07 21:00,1.506,10.568,50.876,7.155,205.867,Calgary Southeast
2026/06/08 00:00,1.507,9.149,87.094,3.103,140.051,Calgary Central
2026/06/09 10:00,1.507,15.621,33.779,9.279,248.588,Calgary Southeast
2026/06/09 13:00,1.507,18.059,27.547,3.952,246.308,Calgary Southeast
2026/06/16 23:00,1.508,11.426,60.359,9.631,275.595,Calgary Southeast
2026/06/08 01:00,1.509,8.594,99.424,3.227,104.285,Calgary Central
2026/06/05 23:00,1.51,10.304,40.108,6.161,299.773,Calgary Northwest
2026/06/02 03:00,1.513,7.623,99.264,30.361,328.249,Calgary Central
2026/06/05 21:00,1.519,12.407,38.142,7.696,238.399,Calgary Central
2026/06/10 17:00,1.524,14.945,45.446,31.189,330.849,Calgary Central
2026/06/10 02:00,1.525,10.911,90.03,7.682,316.785,Calgary Central
2026/06/08 12:00,1.526,17.152,21.702,13.805,241.76,Airdrie
2026/06/08 00:00,1.528,7.991,99.801,0.978,343.956,Airdrie
2026/06/10 00:00,1.529,11.733,59.997,6.139,275.521,Calgary Northwest
2026/06/16 19:00,1.53,11.48,71.286,8.05,294.619,Calgary Northwest
2026/06/02 09:00,1.533,7.839,82.944,18.035,327.078,Calgary Northwest
2026/06/08 14:00,1.533,19.81,13.811,9.043,289.822,Calgary Central
2026/06/12 15:00,1.538,11.391,62.103,17.047,355.533,Calgary Central
2026/06/12 16:00,1.538,11.065,58.34,19.454,0.118,Calgary Central
2026/06/08 10:00,1.542,15.808,27.019,12.24,284.399,Calgary Northwest
2026/06/02 06:00,1.543,7.179,84.552,21.352,324.345,Calgary Northwest
2026/06/07 21:00,1.544,10.395,55.913,3.659,265.358,Calgary Northwest
2026/06/09 01:00,1.546,10.147,40.088,8.702,291.622,Airdrie
2026/06/05 19:00,1.549,12.149,42.524,25.133,253.733,Airdrie
2026/06/08 02:00,1.549,8.11,99.628,2.681,79.954,Calgary Central
2026/06/17 01:00,1.549,11.568,54.8,8.326,304.278,Calgary Central
2026/06/09 12:00,1.553,17.561,29.5,6.683,298.653,Calgary Central
2026/06/07 22:00,1.556,10.156,58.121,2.925,238.369,Calgary Central
2026/06/17 07:00,1.556,11.556,57.796,15.728,338.386,Airdrie
2026/06/02 05:00,1.557,7.351,99.814,31.306,347.718,Airdrie
2026/06/07 12:00,1.557,10.472,53.108,17.394,318.676,Calgary Central
2026/06/05 20:00,1.566,13.099,36.075,13.087,245.762,Calgary Central
2026/06/08 12:00,1.569,17.028,23.067,9.459,276.225,Calgary Northwest
2026/06/09 14:00,1.574,18.297,31.198,9.796,337.763,Calgary Central
2026/06/09 03:00,1.579,7.923,47.974,3.648,295.878,Airdrie
2026/06/07 14:00,1.581,9.909,64.003,5.804,84.122,Calgary Central
2026/06/08 23:00,1.581,12.208,34.659,11.348,282.079,Airdrie
2026/06/10 03:00,1.581,10.226,99.515,6.937,319.383,Calgary Central
2026/06/08 15:00,1.583,19.218,16.138,8.946,286.238,Calgary Northwest
2026/06/10 17:00,1.583,14.335,51.214,23.828,326.007,Calgary Northwest
2026/06/17 08:00,1.583,12.594,54.594,20.279,340.468,Airdrie
2026/06/02 09:00,1.588,7.651,99.806,28.559,350.371,Airdrie
2026/06/07 08:00,1.593,8.967,66.924,16.377,341.467,Calgary Central
2026/06/08 00:00,1.594,9.236,88.648,6.701,120.793,Calgary Southeast
2026/06/12 17:00,1.597,11.315,56.71,20.53,348.073,Calgary Central
2026/06/09 22:00,1.608,13.555,44.475,9.31,315.706,Calgary Central
2026/06/02 03:00,1.611,7.331,99.8,29.492,343.913,Airdrie
2026/06/08 11:00,1.613,16.508,24.687,10.328,263.307,Calgary Northwest
2026/06/09 13:00,1.613,17.634,29.506,6.894,304.059,Calgary Central
2026/06/08 19:00,1.619,19.274,18.6,10.095,281.704,Calgary Northwest
2026/06/09 22:00,1.619,14.255,39.575,6.91,303.088,Calgary Southeast
2026/06/05 22:00,1.622,11.274,37.955,8.011,283.049,Calgary Northwest
2026/06/11 20:00,1.623,10.932,67.245,12.218,336.417,Calgary Northwest
2026/06/09 11:00,1.626,15.719,39.914,6.114,295.517,Calgary Northwest
2026/06/12 13:00,1.627,9.631,76.489,18.132,349.902,Airdrie
2026/06/16 19:00,1.627,12.103,79.972,14.876,319.774,Calgary Central
2026/06/12 16:00,1.63,11.505,56.879,14.744,349.46,Calgary Northwest
2026/06/08 08:00,1.633,13.638,31.412,10.396,263.784,Calgary Southeast
2026/06/16 23:00,1.633,10.411,74.081,5.55,286.15,Calgary Northwest
2026/06/02 10:00,1.636,7.857,83.73,16.635,323.905,Calgary Northwest
2026/06/08 02:00,1.638,8.529,71.701,3.455,68.836,Calgary Northwest
2026/06/17 00:00,1.641,10.477,70.348,5.592,279.301,Calgary Northwest
2026/06/05 23:00,1.648,11.344,34.37,8.48,246.214,Calgary Southeast
2026/06/08 09:00,1.648,15.614,21.489,17.177,277.942,Calgary Southeast
2026/06/11 18:00,1.648,12.466,65.559,4.989,351.739,Calgary Northwest
2026/06/08 20:00,1.653,18.466,20.591,9.383,267.926,Calgary Northwest
2026/06/08 13:00,1.654,17.907,20.191,7.998,280.338,Calgary Northwest
2026/06/02 02:00,1.656,7.383,99.194,27.35,325.624,Calgary Central
2026/06/10 10:00,1.664,9.744,78.465,16.732,326.923,Calgary Northwest
2026/06/05 21:00,1.668,12.146,42.253,10.93,226.237,Calgary Southeast
2026/06/08 20:00,1.668,19.182,14.536,6.892,251.034,Calgary Central
2026/06/09 23:00,1.672,13.636,43.068,7.692,292.53,Calgary Southeast
2026/06/08 14:00,1.673,18.602,18.074,10.869,285.503,Calgary Northwest
2026/06/11 17:00,1.673,11.168,99.633,10.86,15.161,Airdrie
2026/06/12 18:00,1.673,11.359,55.47,13.424,339.073,Calgary Northwest
2026/06/08 17:00,1.674,20.438,12.062,8.034,276.034,Calgary Central
2026/06/08 19:00,1.676,20.378,10.129,9.234,251.386,Calgary Southeast
2026/06/11 22:00,1.677,10.748,93.578,8.538,282.054,Calgary Southeast
2026/06/17 02:00,1.68,11.397,54.785,10.362,311.285,Calgary Central
2026/06/08 00:00,1.686,9.868,55.946,1.673,211.821,Calgary Northwest
2026/06/02 10:00,1.687,7.826,99.811,30.84,350.507,Airdrie
2026/06/10 01:00,1.691,13.338,46.203,10.982,327.51,Calgary Southeast
2026/06/02 07:00,1.692,7.046,87.872,13.436,312.936,Calgary Northwest
2026/06/11 21:00,1.692,9.558,99.831,8.934,339.97,Airdrie
